All Whiskers,,,,,,Bridged Whiskers,,,,,,,,Critical Bridged Whiskers,,,,,,,,Simulation Inputs,
Whisker #,Length (um),Width (um),Resistance (ohm),Iteration,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Whisker #,Length (um),Diameter (um),Resistance (ohm),Iteration,Conductor 1,Conductor 2,,Parameter,Value
38,664.3748,-32.99606,0.0846887,1,,77,2115.143,4.271473,16.0887,4,R20,NetR19_2,,,,,,,,,,,
39,1671.089,35.27981,0.1863305,1,,64,4222.389,88.01183,0.07565066,4,L1,NetD2_2,,,,,,,,,,,
40,1790.853,-3.342495,22.24615,1,,1,1680.544,63.83565,0.05723476,4,R8,NetR8_1,,,,,,,,,,,
41,1432.368,99.55675,0.02005625,1,,29,4757.137,53.22974,0.2330094,4,R6,NetR5_2,,,,,,,,,,,
42,1038.164,-57.21087,0.04401955,1,,34,3342.95,20.35222,1.120064,4,R16,NetR8_1,,,,,,,,,,,
43,1456.004,54.92762,0.06697577,1,,79,2745.729,57.33182,0.1159319,4,R10,NetC2_1,,,,,,,,,,,
44,2641.442,88.28954,0.0470283,1,,136,1476.751,38.92214,0.1352853,5,C5,NetC5_1,,,,,,,,,,,
45,1026.89,-13.81315,0.7469215,1,,1,2758.461,33.48011,0.3415307,5,R33,NetC5_1,,,,,,,,,,,
46,883.6506,51.83176,0.04564838,1,,86,3085.452,1.34166,237.887,5,NetL1_1,R18,,,,,,,,,,,
47,2153.669,5.984112,8.346725,1,,13,2144.731,86.35303,0.03991668,5,NetR8_2,R8,,,,,,,,,,,
48,2453.031,22.57037,0.668286,1,,38,3720.646,111.179,0.04177436,5,L1,NetL1_1,,,,,,,,,,,
49,3679.628,-33.05061,0.4674999,1,,120,2983.917,16.54637,1.512579,6,C6,NetC6_2,,,,,,,,,,,
50,2803.058,27.72814,0.5059729,1,,126,2840.79,80.75649,0.06045341,6,R16,NetR16_2,,,,,,,,,,,
51,686.4578,12.56041,0.6038688,1,,148,2771.85,34.2727,0.3274988,6,R3,NetQ2_2,,,,,,,,,,,
52,1212.328,56.82155,0.05211113,1,,94,3894.173,41.84502,0.3086485,6,R29,NetR29_2,,,,,,,,,,,
53,2753.5,107.2225,0.03323914,1,,65,1360.998,42.28406,0.105643,6,R30,NetR29_2,,,,,,,,,,,
54,782.7268,40.31911,0.06682283,1,,92,1591.863,81.39241,0.03334835,6,R37,NetC6_1,,,,,,,,,,,
55,2568.984,51.65305,0.1336306,1,,47,1456.94,59.56959,0.05698086,6,R32,NetC5_2,,,,,,,,,,,
56,352.2191,30.36214,0.0530255,1,,,,,,,,,,,,,,,,,,,
57,1028.198,41.46423,0.08299774,1,,,,,,,,,,,,,,,,,,,
58,2158.568,41.69913,0.1722853,1,,,,,,,,,,,,,,,,,,,
59,2179.213,108.7166,0.02558848,1,,,,,,,,,,,,,,,,,,,
60,931.5597,166.387,0.00466991,1,,,,,,,,,,,,,,,,,,,
61,2452.688,34.67249,0.283145,1,,,,,,,,,,,,,,,,,,,
62,1083.158,95.34233,0.01653701,1,,,,,,,,,,,,,,,,,,,
63,1997.785,9.785824,2.89528,1,,,,,,,,,,,,,,,,,,,
64,3350.693,-0.6581535,1073.536,1,,,,,,,,,,,,,,,,,,,
65,3080.042,48.20309,0.1839685,1,,,,,,,,,,,,,,,,,,,
66,1597.322,-25.81892,0.3325468,1,,,,,,,,,,,,,,,,,,,
67,1773.37,27.50929,0.32522,1,,,,,,,,,,,,,,,,,,,
68,112.7164,84.76727,0.002177045,1,,,,,,,,,,,,,,,,,,,
69,2589.51,105.3251,0.03239594,1,,,,,,,,,,,,,,,,,,,
70,-77.43359,134.8587,-0.0005908916,1,,,,,,,,,,,,,,,,,,,
71,764.7755,79.86043,0.01664207,1,,,,,,,,,,,,,,,,,,,
72,3073.079,98.96663,0.04354445,1,,,,,,,,,,,,,,,,,,,
73,2741.402,4.298618,20.58978,1,,,,,,,,,,,,,,,,,,,
74,1973.521,117.3619,0.01988492,1,,,,,,,,,,,,,,,,,,,
75,1838.147,59.57529,0.07187611,1,,,,,,,,,,,,,,,,,,,
76,2364.825,-17.10825,1.121307,1,,,,,,,,,,,,,,,,,,,
77,2117.041,-7.538231,5.170434,1,,,,,,,,,,,,,,,,,,,
78,2113.924,104.8027,0.02671044,1,,,,,,,,,,,,,,,,,,,
79,3262.945,15.16172,1.969925,1,,,,,,,,,,,,,,,,,,,
80,1778.97,34.8117,0.2037299,1,,,,,,,,,,,,,,,,,,,
81,1495.088,-4.957035,8.444214,1,,,,,,,,,,,,,,,,,,,
82,738.2721,93.12802,0.01181387,1,,,,,,,,,,,,,,,,,,,
83,3801.955,80.65677,0.08110766,1,,,,,,,,,,,,,,,,,,,
84,1400.335,90.25191,0.02385919,1,,,,,,,,,,,,,,,,,,,
85,2169.109,104.3784,0.02763103,1,,,,,,,,,,,,,,,,,,,
86,1537.339,30.67563,0.2267353,1,,,,,,,,,,,,,,,,,,,
87,3896.862,35.35994,0.4325424,1,,,,,,,,,,,,,,,,,,,
88,3544.976,17.79519,1.55362,1,,,,,,,,,,,,,,,,,,,
89,1467.268,44.3521,0.1035184,1,,,,,,,,,,,,,,,,,,,
90,3062.77,73.29114,0.07913126,1,,,,,,,,,,,,,,,,,,,
91,181.025,53.91698,0.008642194,1,,,,,,,,,,,,,,,,,,,
92,1427.156,24.87163,0.320184,1,,,,,,,,,,,,,,,,,,,
93,2363.614,142.8278,0.01608006,1,,,,,,,,,,,,,,,,,,,
94,2562.549,48.55245,0.1508643,1,,,,,,,,,,,,,,,,,,,
95,2670.011,8.096443,5.652767,1,,,,,,,,,,,,,,,,,,,
96,3245.036,54.6875,0.1505844,1,,,,,,,,,,,,,,,,,,,
97,3002.411,-2.409897,71.74801,1,,,,,,,,,,,,,,,,,,,
98,305.6073,45.93053,0.02010469,1,,,,,,,,,,,,,,,,,,,
99,1180.005,9.824917,1.696535,1,,,,,,,,,,,,,,,,,,,
100,1967.684,13.18898,1.569892,1,,,,,,,,,,,,,,,,,,,
101,388.1096,24.2413,0.09165987,1,,,,,,,,,,,,,,,,,,,
102,1527.19,119.3034,0.01489102,1,,,,,,,,,,,,,,,,,,,
103,2097.946,62.90916,0.07357039,1,,,,,,,,,,,,,,,,,,,
104,1447.897,43.27636,0.1072934,1,,,,,,,,,,,,,,,,,,,
105,2802.84,38.59066,0.2611984,1,,,,,,,,,,,,,,,,,,,
106,2395.067,100.7635,0.03273771,1,,,,,,,,,,,,,,,,,,,
107,2548.773,43.23904,0.1891977,1,,,,,,,,,,,,,,,,,,,
108,1576.203,120.3872,0.01509343,1,,,,,,,,,,,,,,,,,,,
109,2691.612,37.45775,0.2662353,1,,,,,,,,,,,,,,,,,,,
110,27.28296,5.001366,0.1513738,1,,,,,,,,,,,,,,,,,,,
111,2924.834,9.562359,4.439232,1,,,,,,,,,,,,,,,,,,,
112,1910.656,41.08541,0.1570883,1,,,,,,,,,,,,,,,,,,,
113,2539.752,58.71192,0.1022528,1,,,,,,,,,,,,,,,,,,,
114,2640.802,71.03511,0.07263171,1,,,,,,,,,,,,,,,,,,,
115,314.5475,31.21893,0.04479058,1,,,,,,,,,,,,,,,,,,,
116,2249.978,70.75492,0.06237371,1,,,,,,,,,,,,,,,,,,,
117,728.0446,73.55434,0.01867575,1,,,,,,,,,,,,,,,,,,,
118,5072.825,102.7523,0.06668121,1,,,,,,,,,,,,,,,,,,,
119,2356.191,26.68168,0.4593255,1,,,,,,,,,,,,,,,,,,,
120,5205.879,69.06287,0.1514751,1,,,,,,,,,,,,,,,,,,,
121,1898.679,30.59601,0.2814871,1,,,,,,,,,,,,,,,,,,,
122,2165.128,185.2112,0.008759627,1,,,,,,,,,,,,,,,,,,,
123,1994.336,71.71663,0.05381398,1,,,,,,,,,,,,,,,,,,,
124,998.4371,20.27939,0.3369361,1,,,,,,,,,,,,,,,,,,,
125,3201.139,-29.18188,0.5216926,1,,,,,,,,,,,,,,,,,,,
126,1669.012,141.8978,0.01150389,1,,,,,,,,,,,,,,,,,,,
127,2175.667,48.99163,0.1258013,1,,,,,,,,,,,,,,,,,,,
128,1549.568,28.98965,0.2558947,1,,,,,,,,,,,,,,,,,,,
129,2551.522,47.3269,0.1580956,1,,,,,,,,,,,,,,,,,,,
130,2169.441,52.41967,0.1095711,1,,,,,,,,,,,,,,,,,,,
131,2016.191,39.72424,0.1773197,1,,,,,,,,,,,,,,,,,,,
132,3459.383,20.56767,1.134919,1,,,,,,,,,,,,,,,,,,,
133,1568.616,49.51436,0.08879549,1,,,,,,,,,,,,,,,,,,,
134,900.1711,9.715073,1.323639,1,,,,,,,,,,,,,,,,,,,
135,641.5875,131.2423,0.005169459,1,,,,,,,,,,,,,,,,,,,
136,-485.0659,50.96882,-0.02591363,1,,,,,,,,,,,,,,,,,,,
137,1233.72,76.39996,0.02933371,1,,,,,,,,,,,,,,,,,,,
138,1895.793,76.46904,0.04499417,1,,,,,,,,,,,,,,,,,,,
139,2323.704,96.63623,0.03453324,1,,,,,,,,,,,,,,,,,,,
140,966.8832,48.78007,0.05639307,1,,,,,,,,,,,,,,,,,,,
141,1710.239,6.500244,5.617384,1,,,,,,,,,,,,,,,,,,,
142,2329.617,8.566189,4.406014,1,,,,,,,,,,,,,,,,,,,
143,2121.119,133.4661,0.01652569,1,,,,,,,,,,,,,,,,,,,
144,2495.104,82.91341,0.05037042,1,,,,,,,,,,,,,,,,,,,
145,2112.845,140.9334,0.01476306,1,,,,,,,,,,,,,,,,,,,
146,1636.265,75.4736,0.03986577,1,,,,,,,,,,,,,,,,,,,
147,2878.096,58.05061,0.11853,1,,,,,,,,,,,,,,,,,,,
148,2734.896,63.26613,0.09482761,1,,,,,,,,,,,,,,,,,,,
149,2761.516,102.3467,0.03658778,1,,,,,,,,,,,,,,,,,,,
150,2257.943,75.73045,0.05463972,1,,,,,,,,,,,,,,,,,,,
1,2022.009,53.13135,0.09940725,2,,,,,,,,,,,,,,,,,,,
2,3120.72,30.3471,0.4702805,2,,,,,,,,,,,,,,,,,,,
3,3338.299,63.95081,0.1132843,2,,,,,,,,,,,,,,,,,,,
4,1206.193,45.33656,0.08144345,2,,,,,,,,,,,,,,,,,,,
5,3430.615,50.4592,0.1869941,2,,,,,,,,,,,,,,,,,,,
6,1666.124,3.945827,14.85141,2,,,,,,,,,,,,,,,,,,,
7,2574.911,34.90514,0.2933054,2,,,,,,,,,,,,,,,,,,,
8,2179.902,119.3146,0.02125135,2,,,,,,,,,,,,,,,,,,,
9,1907.922,29.76383,0.2988958,2,,,,,,,,,,,,,,,,,,,
10,4397.366,50.14148,0.2427364,2,,,,,,,,,,,,,,,,,,,
11,2410.367,50.56749,0.1308209,2,,,,,,,,,,,,,,,,,,,
12,2183.46,21.73239,0.6416035,2,,,,,,,,,,,,,,,,,,,
13,1449.805,-49.83456,0.08101862,2,,,,,,,,,,,,,,,,,,,
14,2124.952,11.97466,2.056646,2,,,,,,,,,,,,,,,,,,,
15,2148.561,61.36327,0.07918941,2,,,,,,,,,,,,,,,,,,,
16,3037.738,43.81329,0.2196217,2,,,,,,,,,,,,,,,,,,,
17,2261.113,87.75983,0.04074435,2,,,,,,,,,,,,,,,,,,,
18,2158.612,50.82714,0.1159631,2,,,,,,,,,,,,,,,,,,,
19,2598.848,-24.33953,0.6088257,2,,,,,,,,,,,,,,,,,,,
20,1569.149,-6.800636,4.708706,2,,,,,,,,,,,,,,,,,,,
21,620.6523,121.2672,0.005857314,2,,,,,,,,,,,,,,,,,,,
22,4375.376,137.5386,0.03209983,2,,,,,,,,,,,,,,,,,,,
23,2652.997,71.37817,0.07226741,2,,,,,,,,,,,,,,,,,,,
24,1688.635,-18.67499,0.6719728,2,,,,,,,,,,,,,,,,,,,
25,487.0461,69.90114,0.0138337,2,,,,,,,,,,,,,,,,,,,
26,3649.358,62.9976,0.127616,2,,,,,,,,,,,,,,,,,,,
27,530.5762,25.55892,0.1127195,2,,,,,,,,,,,,,,,,,,,
28,2857.737,86.3526,0.05318731,2,,,,,,,,,,,,,,,,,,,
29,2503.074,-26.05655,0.5116542,2,,,,,,,,,,,,,,,,,,,
30,3134.816,59.82483,0.1215586,2,,,,,,,,,,,,,,,,,,,
31,3313.956,3.512817,37.2711,2,,,,,,,,,,,,,,,,,,,
32,3815.822,39.43451,0.3405429,2,,,,,,,,,,,,,,,,,,,
33,1732.144,-0.1641846,8917.764,2,,,,,,,,,,,,,,,,,,,
34,1651.624,0.118145,16421.67,2,,,,,,,,,,,,,,,,,,,
35,1813.639,80.3262,0.03900973,2,,,,,,,,,,,,,,,,,,,
36,781.7502,0.4249077,600.9183,2,,,,,,,,,,,,,,,,,,,
37,3733.035,25.79221,0.7787923,2,,,,,,,,,,,,,,,,,,,
38,2252.004,40.7538,0.1881783,2,,,,,,,,,,,,,,,,,,,
39,2803.197,39.90693,0.2442832,2,,,,,,,,,,,,,,,,,,,
40,1654.32,65.91798,0.05283822,2,,,,,,,,,,,,,,,,,,,
41,3452.926,36.78901,0.3540689,2,,,,,,,,,,,,,,,,,,,
42,2285.871,48.82434,0.1330808,2,,,,,,,,,,,,,,,,,,,
43,1305.908,81.54532,0.02725532,2,,,,,,,,,,,,,,,,,,,
44,4908.23,-14.42343,3.274344,2,,,,,,,,,,,,,,,,,,,
45,3211.427,63.08992,0.1119734,2,,,,,,,,,,,,,,,,,,,
46,1353.165,111.8433,0.01501301,2,,,,,,,,,,,,,,,,,,,
47,2503.713,28.1218,0.4393746,2,,,,,,,,,,,,,,,,,,,
48,2383.16,89.45793,0.04132872,2,,,,,,,,,,,,,,,,,,,
49,2420.563,52.61383,0.1213537,2,,,,,,,,,,,,,,,,,,,
50,3172.068,-0.355175,3489.749,2,,,,,,,,,,,,,,,,,,,
51,1231.094,43.12195,0.09188209,2,,,,,,,,,,,,,,,,,,,
52,1918.263,52.25365,0.09750152,2,,,,,,,,,,,,,,,,,,,
53,2653.558,115.1175,0.02778959,2,,,,,,,,,,,,,,,,,,,
54,974.3037,-12.5183,0.8628604,2,,,,,,,,,,,,,,,,,,,
55,2288.211,39.1131,0.2075813,2,,,,,,,,,,,,,,,,,,,
56,1470.395,46.0074,0.09640849,2,,,,,,,,,,,,,,,,,,,
57,3991.984,7.828896,9.039083,2,,,,,,,,,,,,,,,,,,,
58,2287.667,84.71559,0.04423873,2,,,,,,,,,,,,,,,,,,,
59,2110.151,17.17811,0.9924288,2,,,,,,,,,,,,,,,,,,,
60,1269.411,80.98891,0.02685887,2,,,,,,,,,,,,,,,,,,,
61,959.3922,110.0088,0.01100216,2,,,,,,,,,,,,,,,,,,,
62,2411.603,47.80161,0.1464729,2,,,,,,,,,,,,,,,,,,,
63,1872.567,89.69434,0.03230308,2,,,,,,,,,,,,,,,,,,,
64,1315.389,49.83759,0.07349818,2,,,,,,,,,,,,,,,,,,,
65,2665.177,57.23745,0.1129021,2,,,,,,,,,,,,,,,,,,,
66,2497.563,104.9682,0.03145845,2,,,,,,,,,,,,,,,,,,,
67,2626.529,-7.434967,6.594178,2,,,,,,,,,,,,,,,,,,,
68,2345.073,84.11801,0.04599547,2,,,,,,,,,,,,,,,,,,,
69,1155.576,48.4201,0.06840432,2,,,,,,,,,,,,,,,,,,,
70,1357.805,57.03674,0.05792482,2,,,,,,,,,,,,,,,,,,,
71,1283.943,110.1548,0.01468506,2,,,,,,,,,,,,,,,,,,,
72,3240.347,-14.54111,2.126832,2,,,,,,,,,,,,,,,,,,,
73,1163.602,82.28229,0.0238522,2,,,,,,,,,,,,,,,,,,,
74,2814.563,107.7047,0.0336727,2,,,,,,,,,,,,,,,,,,,
75,2315.058,101.527,0.03116988,2,,,,,,,,,,,,,,,,,,,
76,1211.873,33.12966,0.1532356,2,,,,,,,,,,,,,,,,,,,
77,1898.105,116.6838,0.01934798,2,,,,,,,,,,,,,,,,,,,
78,1004.481,2.899712,16.57939,2,,,,,,,,,,,,,,,,,,,
79,3009.58,-36.33341,0.3163954,2,,,,,,,,,,,,,,,,,,,
80,2177.675,136.5515,0.01620827,2,,,,,,,,,,,,,,,,,,,
81,935.6543,96.57294,0.01392327,2,,,,,,,,,,,,,,,,,,,
82,1808.349,22.72081,0.4861509,2,,,,,,,,,,,,,,,,,,,
83,2430.104,-0.8277206,492.2592,2,,,,,,,,,,,,,,,,,,,
84,749.9912,77.7441,0.01722098,2,,,,,,,,,,,,,,,,,,,
85,2370.959,66.02213,0.07548864,2,,,,,,,,,,,,,,,,,,,
86,-56.28076,119.3921,-0.0005479553,2,,,,,,,,,,,,,,,,,,,
87,2173.436,86.01131,0.04077297,2,,,,,,,,,,,,,,,,,,,
88,1941.799,51.35498,0.1021823,2,,,,,,,,,,,,,,,,,,,
89,2605.523,9.468449,4.033423,2,,,,,,,,,,,,,,,,,,,
90,2593.571,69.90552,0.07365663,2,,,,,,,,,,,,,,,,,,,
91,3372.354,140.4011,0.02374261,2,,,,,,,,,,,,,,,,,,,
92,1140.749,21.89139,0.3303544,2,,,,,,,,,,,,,,,,,,,
93,1802.913,47.7229,0.1098646,2,,,,,,,,,,,,,,,,,,,
94,880.3513,84.61304,0.01706546,2,,,,,,,,,,,,,,,,,,,
95,1010.786,16.20678,0.5340753,2,,,,,,,,,,,,,,,,,,,
96,1509.699,23.29348,0.3861519,2,,,,,,,,,,,,,,,,,,,
97,2443.509,86.60828,0.04520971,2,,,,,,,,,,,,,,,,,,,
98,1412.906,85.08774,0.0270842,2,,,,,,,,,,,,,,,,,,,
99,1382.024,53.92538,0.06595775,2,,,,,,,,,,,,,,,,,,,
100,2845.527,53.9488,0.1356862,2,,,,,,,,,,,,,,,,,,,
101,1098.574,65.26507,0.03579351,2,,,,,,,,,,,,,,,,,,,
102,772.4014,58.85551,0.03094606,2,,,,,,,,,,,,,,,,,,,
103,2026.293,127.8548,0.01720302,2,,,,,,,,,,,,,,,,,,,
104,1368.76,75.40224,0.03341147,2,,,,,,,,,,,,,,,,,,,
105,4197.929,129.5556,0.03471038,2,,,,,,,,,,,,,,,,,,,
106,2163.688,61.50301,0.079385,2,,,,,,,,,,,,,,,,,,,
107,1891.475,101.0763,0.02569442,2,,,,,,,,,,,,,,,,,,,
108,2302.937,167.6607,0.01136989,2,,,,,,,,,,,,,,,,,,,
109,1587.051,-35.81818,0.1716803,2,,,,,,,,,,,,,,,,,,,
110,1420.903,65.19996,0.04638808,2,,,,,,,,,,,,,,,,,,,
111,4014.801,18.15363,1.690727,2,,,,,,,,,,,,,,,,,,,
112,2436.156,-58.89113,0.09748591,2,,,,,,,,,,,,,,,,,,,
113,2769.701,-9.283623,4.459997,2,,,,,,,,,,,,,,,,,,,
114,1595.177,82.18124,0.03277932,2,,,,,,,,,,,,,,,,,,,
115,2381.138,115.4709,0.02478427,2,,,,,,,,,,,,,,,,,,,
116,3101.777,6.945633,8.923259,2,,,,,,,,,,,,,,,,,,,
117,767.719,57.71849,0.03198225,2,,,,,,,,,,,,,,,,,,,
118,1555.014,102.3526,0.0206003,2,,,,,,,,,,,,,,,,,,,
119,1352.587,13.32484,1.057249,2,,,,,,,,,,,,,,,,,,,
120,3300.598,35.65257,0.3603691,2,,,,,,,,,,,,,,,,,,,
121,2883.932,50.24624,0.1585311,2,,,,,,,,,,,,,,,,,,,
122,2822.258,65.78482,0.09050696,2,,,,,,,,,,,,,,,,,,,
123,2956.094,48.66734,0.1732127,2,,,,,,,,,,,,,,,,,,,
124,2809.407,24.68664,0.6397753,2,,,,,,,,,,,,,,,,,,,
125,3582.137,123.0919,0.03281103,2,,,,,,,,,,,,,,,,,,,
126,1863.775,47.83182,0.1130567,2,,,,,,,,,,,,,,,,,,,
127,181.514,-17.11769,0.08597188,2,,,,,,,,,,,,,,,,,,,
128,3130.441,161.461,0.01666505,2,,,,,,,,,,,,,,,,,,,
129,1602.775,143.7873,0.01075891,2,,,,,,,,,,,,,,,,,,,
130,3224.218,-21.60676,0.958477,2,,,,,,,,,,,,,,,,,,,
131,2997.074,9.280933,4.828928,2,,,,,,,,,,,,,,,,,,,
132,1599.093,2.531281,34.63616,2,,,,,,,,,,,,,,,,,,,
133,1180.412,-12.05895,1.126551,2,,,,,,,,,,,,,,,,,,,
134,-540.9421,64.77876,-0.01789049,2,,,,,,,,,,,,,,,,,,,
135,1044.324,45.31728,0.0705739,2,,,,,,,,,,,,,,,,,,,
136,2702.107,39.0401,0.2460466,2,,,,,,,,,,,,,,,,,,,
137,954.4637,125.3416,0.008431508,2,,,,,,,,,,,,,,,,,,,
138,2731.596,72.06815,0.07299051,2,,,,,,,,,,,,,,,,,,,
139,4159.071,40.61492,0.3499144,2,,,,,,,,,,,,,,,,,,,
140,2921.974,125.4849,0.02575313,2,,,,,,,,,,,,,,,,,,,
141,2036.843,-11.33363,2.200674,2,,,,,,,,,,,,,,,,,,,
142,3264.684,127.0102,0.02808668,2,,,,,,,,,,,,,,,,,,,
143,1508.138,68.01941,0.04523889,2,,,,,,,,,,,,,,,,,,,
144,1378.261,-18.62155,0.5516152,2,,,,,,,,,,,,,,,,,,,
145,2156.432,129.807,0.01776136,2,,,,,,,,,,,,,,,,,,,
146,160.6244,74.66361,0.003998804,2,,,,,,,,,,,,,,,,,,,
147,2785.566,45.28807,0.1884874,2,,,,,,,,,,,,,,,,,,,
148,702.2877,51.46734,0.03679495,2,,,,,,,,,,,,,,,,,,,
149,1552.5,88.65079,0.02741593,2,,,,,,,,,,,,,,,,,,,
150,2897.406,130.7007,0.0235391,2,,,,,,,,,,,,,,,,,,,
1,1921.134,23.47239,0.4839266,3,,,,,,,,,,,,,,,,,,,
2,3154.675,55.71133,0.1410601,3,,,,,,,,,,,,,,,,,,,
3,2100.624,24.62703,0.4806851,3,,,,,,,,,,,,,,,,,,,
4,2936.295,55.81749,0.1307964,3,,,,,,,,,,,,,,,,,,,
5,4085.488,23.69968,1.009475,3,,,,,,,,,,,,,,,,,,,
6,4106.018,81.93833,0.08487567,3,,,,,,,,,,,,,,,,,,,
7,3336.943,148.2652,0.02106721,3,,,,,,,,,,,,,,,,,,,
8,2866.762,-31.92544,0.3903503,3,,,,,,,,,,,,,,,,,,,
9,2311.551,43.30349,0.1710781,3,,,,,,,,,,,,,,,,,,,
10,2149.675,-0.8443947,418.4258,3,,,,,,,,,,,,,,,,,,,
11,2515.659,129.4658,0.02082947,3,,,,,,,,,,,,,,,,,,,
12,1671.052,76.04383,0.04010501,3,,,,,,,,,,,,,,,,,,,
